Bus,Month,Route,end,start,type
1,August,1,3/17/2018 12:08,3/17/2018 11:38,charging
1,August,1,3/17/2018 18:08,3/17/2018 17:38,charging
2,August,1,3/17/2018 13:38,3/17/2018 13:08,charging
2,August,1,3/17/2018 21:08,3/17/2018 20:38,charging
3,August,1,3/17/2018 15:08,3/17/2018 14:38,charging
3,August,1,3/18/2018 0:08,3/17/2018 23:38,charging
4,August,1,3/17/2018 16:38,3/17/2018 16:08,charging
5,August,1,3/17/2018 18:48,3/17/2018 18:18,charging
6,August,1,3/17/2018 20:18,3/17/2018 19:48,charging
7,August,1,3/17/2018 21:48,3/17/2018 21:18,charging
8,August,1,3/17/2018 23:18,3/17/2018 22:48,charging
1,August,2,3/17/2018 14:56,3/17/2018 14:26,charging
2,August,2,3/17/2018 17:36,3/17/2018 17:06,charging
3,August,2,3/17/2018 18:36,3/17/2018 18:06,charging
4,August,2,3/17/2018 19:46,3/17/2018 19:16,charging
5,August,2,3/17/2018 20:56,3/17/2018 20:26,charging
6,August,2,3/17/2018 22:56,3/17/2018 22:26,charging
1,August,3,3/17/2018 13:50,3/17/2018 13:20,charging
1,August,3,3/17/2018 23:10,3/17/2018 22:40,charging
2,August,3,3/17/2018 17:10,3/17/2018 16:40,charging
3,August,3,3/17/2018 18:40,3/17/2018 18:10,charging
4,August,3,3/17/2018 20:00,3/17/2018 19:30,charging
5,August,3,3/17/2018 21:20,3/17/2018 20:50,charging
1,August,5,3/17/2018 16:04,3/17/2018 15:34,charging
2,August,5,3/17/2018 16:54,3/17/2018 16:24,charging
3,August,5,3/17/2018 17:44,3/17/2018 17:14,charging
4,August,5,3/17/2018 18:34,3/17/2018 18:04,charging
5,August,5,3/17/2018 20:04,3/17/2018 19:34,charging
1,August,6,3/17/2018 12:37,3/17/2018 12:07,charging
1,August,6,3/17/2018 21:07,3/17/2018 20:37,charging
2,August,6,3/17/2018 15:57,3/17/2018 15:27,charging
3,August,6,3/17/2018 18:37,3/17/2018 18:07,charging
4,August,6,3/17/2018 19:57,3/17/2018 19:27,charging
5,August,6,3/17/2018 21:37,3/17/2018 21:07,charging
6,August,6,3/17/2018 23:37,3/17/2018 23:07,charging
1,August,7,3/17/2018 13:04,3/17/2018 12:34,charging
1,August,7,3/17/2018 19:54,3/17/2018 19:24,charging
2,August,7,3/17/2018 14:14,3/17/2018 13:44,charging
2,August,7,3/17/2018 22:14,3/17/2018 21:44,charging
3,August,7,3/17/2018 15:24,3/17/2018 14:54,charging
4,August,7,3/17/2018 16:34,3/17/2018 16:04,charging
5,August,7,3/17/2018 18:24,3/17/2018 17:54,charging
6,August,7,3/17/2018 19:34,3/17/2018 19:04,charging
7,August,7,3/17/2018 20:44,3/17/2018 20:14,charging
1,August,8,3/17/2018 13:49,3/17/2018 13:19,charging
1,August,8,3/17/2018 21:49,3/17/2018 21:19,charging
2,August,8,3/17/2018 15:49,3/17/2018 15:19,charging
3,August,8,3/17/2018 17:49,3/17/2018 17:19,charging
4,August,8,3/17/2018 20:49,3/17/2018 20:19,charging
5,August,8,3/17/2018 22:49,3/17/2018 22:19,charging
1,August,9,3/17/2018 15:06,3/17/2018 14:36,charging
2,August,9,3/17/2018 17:36,3/17/2018 17:06,charging
3,August,9,3/17/2018 21:06,3/17/2018 20:36,charging
4,August,9,3/17/2018 23:36,3/17/2018 23:06,charging
1,August,10,3/17/2018 15:04,3/17/2018 14:34,charging
2,August,10,3/17/2018 17:34,3/17/2018 17:04,charging
3,August,10,3/17/2018 21:04,3/17/2018 20:34,charging
4,August,10,3/17/2018 23:34,3/17/2018 23:04,charging
1,August,11,3/17/2018 18:15,3/17/2018 17:45,charging
2,August,11,3/17/2018 20:45,3/17/2018 20:15,charging
1,August,12,3/17/2018 18:06,3/17/2018 17:36,charging
