Bus,Bus Type,Passengers,Bus Cost,Battery Capacity,Battery Cost,Battery Type,Month,Route
1,LE,95,350000,200,1150 Euros/kWh,HP,August,11
2,LE,95,350000,250,1150 Euros/kWh,HP,August,11
3,LE,95,350000,300,1150 Euros/kWh,HP,August,11
4,LE,95,350000,300,1150 Euros/kWh,HP,August,11
1,LFA,176,570000,150,1150 Euros/kWh,HP,August,12
2,LFA,176,570000,200,1150 Euros/kWh,HP,August,12
3,LFA,176,570000,250,1150 Euros/kWh,HP,August,12
4,LFA,176,570000,300,1150 Euros/kWh,HP,August,12
1,LE,95,350000,100,1150 Euros/kWh,HP,August,2
2,LE,95,350000,100,1150 Euros/kWh,HP,August,2
3,LE,95,350000,100,1150 Euros/kWh,HP,August,2
4,LE,95,350000,100,1150 Euros/kWh,HP,August,2
5,LE,95,350000,150,1150 Euros/kWh,HP,August,2
6,LE,95,350000,150,1150 Euros/kWh,HP,August,2
1,LE,95,350000,100,1150 Euros/kWh,HP,August,3
2,LE,95,350000,100,1150 Euros/kWh,HP,August,3
3,LE,95,350000,150,1150 Euros/kWh,HP,August,3
4,LE,95,350000,150,1150 Euros/kWh,HP,August,3
5,LE,95,350000,150,1150 Euros/kWh,HP,August,3
6,LE,95,350000,200,1150 Euros/kWh,HP,August,3
7,LE,95,350000,200,1150 Euros/kWh,HP,August,3
1,LE,95,350000,100,1150 Euros/kWh,HP,August,4
2,LE,95,350000,100,1150 Euros/kWh,HP,August,4
3,LE,95,350000,150,1150 Euros/kWh,HP,August,4
1,LE,95,350000,100,1150 Euros/kWh,HP,August,5
2,LE,95,350000,100,1150 Euros/kWh,HP,August,5
3,LE,95,350000,100,1150 Euros/kWh,HP,August,5
4,LE,95,350000,100,1150 Euros/kWh,HP,August,5
1,LE,95,350000,100,1150 Euros/kWh,HP,August,6
2,LE,95,350000,150,1150 Euros/kWh,HP,August,6
3,LE,95,350000,150,1150 Euros/kWh,HP,August,6
4,LE,95,350000,150,1150 Euros/kWh,HP,August,6
5,LE,95,350000,200,1150 Euros/kWh,HP,August,6
6,LE,95,350000,200,1150 Euros/kWh,HP,August,6
7,LE,95,350000,250,1150 Euros/kWh,HP,August,6
8,LE,95,350000,250,1150 Euros/kWh,HP,August,6
1,LFA,176,570000,100,1150 Euros/kWh,HP,August,7
2,LFA,176,570000,100,1150 Euros/kWh,HP,August,7
3,LFA,176,570000,100,1150 Euros/kWh,HP,August,7
4,LFA,176,570000,100,1150 Euros/kWh,HP,August,7
5,LFA,176,570000,150,1150 Euros/kWh,HP,August,7
6,LFA,176,570000,150,1150 Euros/kWh,HP,August,7
1,LFA,176,570000,150,1150 Euros/kWh,HP,August,8
2,LFA,176,570000,150,1150 Euros/kWh,HP,August,8
3,LFA,176,570000,200,1150 Euros/kWh,HP,August,8
4,LFA,176,570000,200,1150 Euros/kWh,HP,August,8
5,LFA,176,570000,250,1150 Euros/kWh,HP,August,8
1,LE,95,350000,150,1150 Euros/kWh,HP,August,9
2,LE,95,350000,200,1150 Euros/kWh,HP,August,9
3,LE,95,350000,250,1150 Euros/kWh,HP,August,9
4,LE,95,350000,300,1150 Euros/kWh,HP,August,9
1,LFA,176,570000,150,1150 Euros/kWh,HP,August,10
2,LFA,176,570000,200,1150 Euros/kWh,HP,August,10
3,LFA,176,570000,200,1150 Euros/kWh,HP,August,10
4,LFA,176,570000,250,1150 Euros/kWh,HP,August,10
1,LE,95,350000,150,1150 Euros/kWh,HP,March,2
2,LE,95,350000,150,1150 Euros/kWh,HP,March,2
3,LE,95,350000,150,1150 Euros/kWh,HP,March,2
4,LE,95,350000,200,1150 Euros/kWh,HP,March,2
5,LE,95,350000,200,1150 Euros/kWh,HP,March,2
6,LE,95,350000,200,1150 Euros/kWh,HP,March,2
1,LE,95,350000,150,1150 Euros/kWh,HP,March,3
