Bus,Month,Route,end,start,type
1,August,11,2018-08-17 07:15,2018-08-17 06:00,running
1,August,11,2018-08-17 09:15,2018-08-17 08:00,running
1,August,11,2018-08-17 11:15,2018-08-17 10:00,running
1,August,11,2018-08-17 15:15,2018-08-17 14:00,running
1,August,11,2018-08-17 15:45,2018-08-17 15:15,charging
1,August,11,2018-08-17 18:15,2018-08-17 17:00,running
1,August,11,2018-08-17 20:15,2018-08-17 19:00,running
1,August,11,2018-08-17 23:15,2018-08-17 22:00,running
2,August,11,2018-08-17 07:45,2018-08-17 06:30,running
2,August,11,2018-08-17 09:45,2018-08-17 08:30,running
2,August,11,2018-08-17 12:15,2018-08-17 11:00,running
2,August,11,2018-08-17 16:15,2018-08-17 15:00,running
2,August,11,2018-08-17 18:45,2018-08-17 17:30,running
2,August,11,2018-08-17 19:15,2018-08-17 18:45,charging
2,August,11,2018-08-17 21:15,2018-08-17 20:00,running
3,August,11,2018-08-17 08:15,2018-08-17 07:00,running
3,August,11,2018-08-17 10:15,2018-08-17 09:00,running
3,August,11,2018-08-17 13:15,2018-08-17 12:00,running
3,August,11,2018-08-17 17:15,2018-08-17 16:00,running
3,August,11,2018-08-17 19:15,2018-08-17 18:00,running
3,August,11,2018-08-17 20:45,2018-08-17 19:30,running
3,August,11,2018-08-17 21:15,2018-08-17 20:45,charging
3,August,11,2018-08-18 00:15,2018-08-17 23:00,running
4,August,11,2018-08-17 08:45,2018-08-17 07:30,running
4,August,11,2018-08-17 10:45,2018-08-17 09:30,running
4,August,11,2018-08-17 14:15,2018-08-17 13:00,running
4,August,11,2018-08-17 17:45,2018-08-17 16:30,running
4,August,11,2018-08-17 19:45,2018-08-17 18:30,running
4,August,11,2018-08-17 22:15,2018-08-17 21:00,running
1,August,12,2018-08-17 07:06,2018-08-17 06:00,running
1,August,12,2018-08-17 09:06,2018-08-17 08:00,running
1,August,12,2018-08-17 11:06,2018-08-17 10:00,running
1,August,12,2018-08-17 15:06,2018-08-17 14:00,running
1,August,12,2018-08-17 15:36,2018-08-17 15:06,charging
1,August,12,2018-08-17 18:06,2018-08-17 17:00,running
1,August,12,2018-08-17 20:06,2018-08-17 19:00,running
1,August,12,2018-08-17 23:06,2018-08-17 22:00,running
2,August,12,2018-08-17 07:36,2018-08-17 06:30,running
2,August,12,2018-08-17 09:36,2018-08-17 08:30,running
2,August,12,2018-08-17 12:06,2018-08-17 11:00,running
2,August,12,2018-08-17 16:06,2018-08-17 15:00,running
2,August,12,2018-08-17 18:36,2018-08-17 17:30,running
2,August,12,2018-08-17 19:06,2018-08-17 18:36,charging
2,August,12,2018-08-17 21:06,2018-08-17 20:00,running
3,August,12,2018-08-17 08:06,2018-08-17 07:00,running
3,August,12,2018-08-17 10:06,2018-08-17 09:00,running
3,August,12,2018-08-17 13:06,2018-08-17 12:00,running
3,August,12,2018-08-17 17:06,2018-08-17 16:00,running
3,August,12,2018-08-17 19:06,2018-08-17 18:00,running
3,August,12,2018-08-17 20:36,2018-08-17 19:30,running
3,August,12,2018-08-17 21:06,2018-08-17 20:36,charging
3,August,12,2018-08-18 00:06,2018-08-17 23:00,running
4,August,12,2018-08-17 08:36,2018-08-17 07:30,running
4,August,12,2018-08-17 10:36,2018-08-17 09:30,running
4,August,12,2018-08-17 14:06,2018-08-17 13:00,running
4,August,12,2018-08-17 17:36,2018-08-17 16:30,running
4,August,12,2018-08-17 19:36,2018-08-17 18:30,running
4,August,12,2018-08-17 22:06,2018-08-17 21:00,running
1,August,2,2018-08-17 06:46,2018-08-17 06:00,running
1,August,2,2018-08-17 07:46,2018-08-17 07:00,running
1,August,2,2018-08-17 08:46,2018-08-17 08:00,running
1,August,2,2018-08-17 09:46,2018-08-17 09:00,running
1,August,2,2018-08-17 10:46,2018-08-17 10:00,running
1,August,2,2018-08-17 12:46,2018-08-17 12:00,running
1,August,2,2018-08-17 13:16,2018-08-17 12:46,charging
1,August,2,2018-08-17 14:46,2018-08-17 14:00,running
1,August,2,2018-08-17 16:46,2018-08-17 16:00,running
1,August,2,2018-08-17 17:46,2018-08-17 17:00,running
1,August,2,2018-08-17 18:46,2018-08-17 18:00,running
1,August,2,2018-08-17 19:46,2018-08-17 19:00,running
1,August,2,2018-08-17 20:36,2018-08-17 19:50,running
1,August,2,2018-08-17 21:06,2018-08-17 20:36,charging
1,August,2,2018-08-17 22:46,2018-08-17 22:00,running
2,August,2,2018-08-17 06:56,2018-08-17 06:10,running
2,August,2,2018-08-17 07:56,2018-08-17 07:10,running
2,August,2,2018-08-17 08:56,2018-08-17 08:10,running
