Bus,Month,Route,end,start,type
1,August,11,8/17/2018 7:15,8/17/2018 6:00,running
1,August,11,8/17/2018 9:15,8/17/2018 8:00,running
1,August,11,8/17/2018 11:15,8/17/2018 10:00,running
1,August,11,8/17/2018 15:15,8/17/2018 14:00,running
1,August,11,8/17/2018 15:45,8/17/2018 15:15,charging
1,August,11,8/17/2018 18:15,8/17/2018 17:00,running
1,August,11,8/17/2018 20:15,8/17/2018 19:00,running
1,August,11,8/17/2018 23:15,8/17/2018 22:00,running
2,August,11,8/17/2018 7:45,8/17/2018 6:30,running
2,August,11,8/17/2018 9:45,8/17/2018 8:30,running
2,August,11,8/17/2018 12:15,8/17/2018 11:00,running
2,August,11,8/17/2018 16:15,8/17/2018 15:00,running
2,August,11,8/17/2018 18:45,8/17/2018 17:30,running
2,August,11,8/17/2018 19:15,8/17/2018 18:45,charging
2,August,11,8/17/2018 21:15,8/17/2018 20:00,running
3,August,11,8/17/2018 8:15,8/17/2018 7:00,running
3,August,11,8/17/2018 10:15,8/17/2018 9:00,running
3,August,11,8/17/2018 13:15,8/17/2018 12:00,running
3,August,11,8/17/2018 17:15,8/17/2018 16:00,running
3,August,11,8/17/2018 19:15,8/17/2018 18:00,running
3,August,11,8/17/2018 20:45,8/17/2018 19:30,running
3,August,11,8/17/2018 21:15,8/17/2018 20:45,charging
3,August,11,8/18/2018 0:15,8/17/2018 23:00,running
4,August,11,8/17/2018 8:45,8/17/2018 7:30,running
4,August,11,8/17/2018 10:45,8/17/2018 9:30,running
4,August,11,8/17/2018 14:15,8/17/2018 13:00,running
4,August,11,8/17/2018 17:45,8/17/2018 16:30,running
4,August,11,8/17/2018 19:45,8/17/2018 18:30,running
4,August,11,8/17/2018 22:15,8/17/2018 21:00,running
1,August,12,8/17/2018 7:06,8/17/2018 6:00,running
1,August,12,8/17/2018 9:06,8/17/2018 8:00,running
1,August,12,8/17/2018 11:06,8/17/2018 10:00,running
1,August,12,8/17/2018 15:06,8/17/2018 14:00,running
1,August,12,8/17/2018 15:36,8/17/2018 15:06,charging
1,August,12,8/17/2018 18:06,8/17/2018 17:00,running
1,August,12,8/17/2018 20:06,8/17/2018 19:00,running
1,August,12,8/17/2018 23:06,8/17/2018 22:00,running
2,August,12,8/17/2018 7:36,8/17/2018 6:30,running
2,August,12,8/17/2018 9:36,8/17/2018 8:30,running
2,August,12,8/17/2018 12:06,8/17/2018 11:00,running
2,August,12,8/17/2018 16:06,8/17/2018 15:00,running
