Bus,Month,Route,end,start,type
1,August,1,2018-08-17 12:08,2018-08-17 11:38,charging
1,August,1,2018-08-17 18:08,2018-08-17 17:38,charging
2,August,1,2018-08-17 13:38,2018-08-17 13:08,charging
2,August,1,2018-08-17 21:08,2018-08-17 20:38,charging
3,August,1,2018-08-17 15:08,2018-08-17 14:38,charging
3,August,1,2018-08-18 00:08,2018-08-17 23:38,charging
4,August,1,2018-08-17 16:38,2018-08-17 16:08,charging
5,August,1,2018-08-17 18:48,2018-08-17 18:18,charging
6,August,1,2018-08-17 20:18,2018-08-17 19:48,charging
7,August,1,2018-08-17 21:48,2018-08-17 21:18,charging
8,August,1,2018-08-17 23:18,2018-08-17 22:48,charging
1,August,11,2018-08-17 18:15,2018-08-17 17:45,charging
2,August,11,2018-08-17 20:45,2018-08-17 20:15,charging
1,August,12,2018-08-17 18:06,2018-08-17 17:36,charging
2,August,12,2018-08-17 20:36,2018-08-17 20:06,charging
1,August,2,2018-08-17 14:56,2018-08-17 14:26,charging
2,August,2,2018-08-17 17:36,2018-08-17 17:06,charging
3,August,2,2018-08-17 18:36,2018-08-17 18:06,charging
4,August,2,2018-08-17 19:46,2018-08-17 19:16,charging
5,August,2,2018-08-17 20:56,2018-08-17 20:26,charging
6,August,2,2018-08-17 22:56,2018-08-17 22:26,charging
1,August,3,2018-08-17 13:50,2018-08-17 13:20,charging
1,August,3,2018-08-17 23:10,2018-08-17 22:40,charging
2,August,3,2018-08-17 17:10,2018-08-17 16:40,charging
3,August,3,2018-08-17 18:40,2018-08-17 18:10,charging
4,August,3,2018-08-17 20:00,2018-08-17 19:30,charging
5,August,3,2018-08-17 21:20,2018-08-17 20:50,charging
1,August,5,2018-08-17 16:04,2018-08-17 15:34,charging
2,August,5,2018-08-17 16:54,2018-08-17 16:24,charging
3,August,5,2018-08-17 17:44,2018-08-17 17:14,charging
4,August,5,2018-08-17 18:34,2018-08-17 18:04,charging
5,August,5,2018-08-17 20:04,2018-08-17 19:34,charging
1,August,6,2018-08-17 12:37,2018-08-17 12:07,charging
1,August,6,2018-08-17 21:07,2018-08-17 20:37,charging
2,August,6,2018-08-17 15:57,2018-08-17 15:27,charging
3,August,6,2018-08-17 18:37,2018-08-17 18:07,charging
4,August,6,2018-08-17 19:57,2018-08-17 19:27,charging
5,August,6,2018-08-17 21:37,2018-08-17 21:07,charging
6,August,6,2018-08-17 23:37,2018-08-17 23:07,charging
1,August,7,2018-08-17 13:04,2018-08-17 12:34,charging
1,August,7,2018-08-17 19:54,2018-08-17 19:24,charging
2,August,7,2018-08-17 14:14,2018-08-17 13:44,charging
2,August,7,2018-08-17 22:14,2018-08-17 21:44,charging
3,August,7,2018-08-17 15:24,2018-08-17 14:54,charging
4,August,7,2018-08-17 16:34,2018-08-17 16:04,charging
5,August,7,2018-08-17 18:24,2018-08-17 17:54,charging
6,August,7,2018-08-17 19:34,2018-08-17 19:04,charging
7,August,7,2018-08-17 20:44,2018-08-17 20:14,charging
1,August,8,2018-08-17 13:49,2018-08-17 13:19,charging
1,August,8,2018-08-17 21:49,2018-08-17 21:19,charging
2,August,8,2018-08-17 15:49,2018-08-17 15:19,charging
3,August,8,2018-08-17 17:49,2018-08-17 17:19,charging
4,August,8,2018-08-17 20:49,2018-08-17 20:19,charging
5,August,8,2018-08-17 22:49,2018-08-17 22:19,charging
1,August,9,2018-08-17 15:06,2018-08-17 14:36,charging
2,August,9,2018-08-17 17:36,2018-08-17 17:06,charging
3,August,9,2018-08-17 21:06,2018-08-17 20:36,charging
4,August,9,2018-08-17 23:36,2018-08-17 23:06,charging
1,August,10,2018-08-17 15:04,2018-08-17 14:34,charging
2,August,10,2018-08-17 17:34,2018-08-17 17:04,charging
3,August,10,2018-08-17 21:04,2018-08-17 20:34,charging
4,August,10,2018-08-17 23:34,2018-08-17 23:04,charging
