Bus,Month,Route,end,start,type
1,February,1,2/17/2018 7:08,2/17/2018 6:00,running
1,February,1,2/17/2018 8:38,2/17/2018 7:30,running
1,February,1,2/17/2018 10:08,2/17/2018 9:00,running
1,February,1,2/17/2018 11:38,2/17/2018 10:30,running
1,February,1,2/17/2018 12:08,2/17/2018 11:38,charging
1,February,1,2/17/2018 13:38,2/17/2018 12:30,running
1,February,1,2/17/2018 14:58,2/17/2018 13:50,running
1,February,1,2/17/2018 16:18,2/17/2018 15:10,running
1,February,1,2/17/2018 17:38,2/17/2018 16:30,running
1,February,1,2/17/2018 18:08,2/17/2018 17:38,charging
1,February,1,2/17/2018 19:38,2/17/2018 18:30,running
1,February,1,2/17/2018 21:08,2/17/2018 20:00,running
1,February,1,2/17/2018 22:28,2/17/2018 21:20,running
1,February,1,2/17/2018 23:58,2/17/2018 22:50,running
2,February,1,2/17/2018 7:18,2/17/2018 6:10,running
2,February,1,2/17/2018 8:48,2/17/2018 7:40,running
2,February,1,2/17/2018 10:18,2/17/2018 9:10,running
2,February,1,2/17/2018 11:48,2/17/2018 10:40,running
2,February,1,2/17/2018 13:08,2/17/2018 12:00,running
2,February,1,2/17/2018 13:38,2/17/2018 13:08,charging
2,February,1,2/17/2018 15:08,2/17/2018 14:00,running
2,February,1,2/17/2018 16:28,2/17/2018 15:20,running
2,February,1,2/17/2018 17:48,2/17/2018 16:40,running
2,February,1,2/17/2018 19:08,2/17/2018 18:00,running
2,February,1,2/17/2018 20:38,2/17/2018 19:30,running
2,February,1,2/17/2018 21:08,2/17/2018 20:38,charging
2,February,1,2/17/2018 22:38,2/17/2018 21:30,running
2,February,1,2/18/2018 0:08,2/17/2018 23:00,running
3,February,1,2/17/2018 7:28,2/17/2018 6:20,running
3,February,1,2/17/2018 8:58,2/17/2018 7:50,running
3,February,1,2/17/2018 10:28,2/17/2018 9:20,running
3,February,1,2/17/2018 11:58,2/17/2018 10:50,running
3,February,1,2/17/2018 13:18,2/17/2018 12:10,running
3,February,1,2/17/2018 14:38,2/17/2018 13:30,running
3,February,1,2/17/2018 15:08,2/17/2018 14:38,charging
3,February,1,2/17/2018 16:38,2/17/2018 15:30,running
3,February,1,2/17/2018 17:58,2/17/2018 16:50,running
3,February,1,2/17/2018 19:18,2/17/2018 18:10,running
3,February,1,2/17/2018 20:48,2/17/2018 19:40,running
3,February,1,2/17/2018 22:08,2/17/2018 21:00,running
3,February,1,2/17/2018 23:38,2/17/2018 22:30,running
3,February,1,2/18/2018 0:08,2/17/2018 23:38,charging
4,February,1,2/17/2018 7:38,2/17/2018 6:30,running
4,February,1,2/17/2018 9:08,2/17/2018 8:00,running
4,February,1,2/17/2018 10:38,2/17/2018 9:30,running
4,February,1,2/17/2018 12:08,2/17/2018 11:00,running
4,February,1,2/17/2018 13:28,2/17/2018 12:20,running
4,February,1,2/17/2018 14:48,2/17/2018 13:40,running
4,February,1,2/17/2018 16:08,2/17/2018 15:00,running
4,February,1,2/17/2018 16:38,2/17/2018 16:08,charging
4,February,1,2/17/2018 18:08,2/17/2018 17:00,running
4,February,1,2/17/2018 19:28,2/17/2018 18:20,running
4,February,1,2/17/2018 20:58,2/17/2018 19:50,running
4,February,1,2/17/2018 22:18,2/17/2018 21:10,running
