Bus,Month,Route,start,end,type
1,March,2,2018-03-17 06:00,2018-03-17 06:46,running
1,March,2,2018-03-17 07:00,2018-03-17 07:46,running
1,March,2,2018-03-17 08:00,2018-03-17 08:46,running
1,March,2,2018-03-17 09:00,2018-03-17 09:46,running
1,March,2,2018-03-17 10:00,2018-03-17 10:46,running
1,March,2,2018-03-17 12:00,2018-03-17 12:46,running
1,March,2,2018-03-17 12:46,2018-03-17 13:16,charging
1,March,2,2018-03-17 14:00,2018-03-17 14:46,running
1,March,2,2018-03-17 16:00,2018-03-17 16:46,running
1,March,2,2018-03-17 17:00,2018-03-17 17:46,running
1,March,2,2018-03-17 18:00,2018-03-17 18:46,running
1,March,2,2018-03-17 19:00,2018-03-17 19:46,running
1,March,2,2018-03-17 19:50,2018-03-17 20:36,running
1,March,2,2018-03-17 20:36,2018-03-17 21:06,charging
1,March,2,2018-03-17 22:00,2018-03-17 22:46,running
2,March,2,2018-03-17 06:10,2018-03-17 06:56,running
2,March,2,2018-03-17 07:10,2018-03-17 07:56,running
2,March,2,2018-03-17 08:10,2018-03-17 08:56,running
2,March,2,2018-03-17 09:10,2018-03-17 09:56,running
2,March,2,2018-03-17 10:20,2018-03-17 11:06,running
2,March,2,2018-03-17 12:20,2018-03-17 13:06,running
2,March,2,2018-03-17 14:20,2018-03-17 15:06,running
2,March,2,2018-03-17 15:06,2018-03-17 15:36,charging
2,March,2,2018-03-17 16:10,2018-03-17 16:56,running
2,March,2,2018-03-17 17:10,2018-03-17 17:56,running
2,March,2,2018-03-17 18:10,2018-03-17 18:56,running
2,March,2,2018-03-17 19:10,2018-03-17 19:56,running
2,March,2,2018-03-17 20:20,2018-03-17 21:06,running
2,March,2,2018-03-17 22:20,2018-03-17 23:06,running
3,March,2,2018-03-17 06:20,2018-03-17 07:06,running
3,March,2,2018-03-17 07:20,2018-03-17 08:06,running
3,March,2,2018-03-17 08:20,2018-03-17 09:06,running
3,March,2,2018-03-17 09:20,2018-03-17 10:06,running
3,March,2,2018-03-17 10:40,2018-03-17 11:26,running
3,March,2,2018-03-17 12:40,2018-03-17 13:26,running
3,March,2,2018-03-17 14:40,2018-03-17 15:26,running
3,March,2,2018-03-17 16:20,2018-03-17 17:06,running
3,March,2,2018-03-17 17:06,2018-03-17 17:36,charging
3,March,2,2018-03-17 17:50,2018-03-17 18:36,running
3,March,2,2018-03-17 18:40,2018-03-17 19:26,running
3,March,2,2018-03-17 19:30,2018-03-17 20:16,running
3,March,2,2018-03-17 20:40,2018-03-17 21:26,running
3,March,2,2018-03-17 22:40,2018-03-17 23:26,running
4,March,2,2018-03-17 06:30,2018-03-17 07:16,running
4,March,2,2018-03-17 07:30,2018-03-17 08:16,running
4,March,2,2018-03-17 08:30,2018-03-17 09:16,running
4,March,2,2018-03-17 09:30,2018-03-17 10:16,running
4,March,2,2018-03-17 11:00,2018-03-17 11:46,running
4,March,2,2018-03-17 13:00,2018-03-17 13:46,running
4,March,2,2018-03-17 15:00,2018-03-17 15:46,running
4,March,2,2018-03-17 16:30,2018-03-17 17:16,running
4,March,2,2018-03-17 17:20,2018-03-17 18:06,running
4,March,2,2018-03-17 18:06,2018-03-17 18:36,charging
4,March,2,2018-03-17 18:50,2018-03-17 19:36,running
4,March,2,2018-03-17 19:40,2018-03-17 20:26,running
4,March,2,2018-03-17 21:20,2018-03-17 22:06,running
4,March,2,2018-03-17 23:20,2018-03-18 00:06,running
5,March,2,2018-03-17 06:40,2018-03-17 07:26,running
5,March,2,2018-03-17 07:40,2018-03-17 08:26,running
5,March,2,2018-03-17 08:40,2018-03-17 09:26,running
5,March,2,2018-03-17 09:40,2018-03-17 10:26,running
5,March,2,2018-03-17 11:40,2018-03-17 12:26,running
5,March,2,2018-03-17 13:40,2018-03-17 14:26,running
5,March,2,2018-03-17 15:40,2018-03-17 16:26,running
5,March,2,2018-03-17 16:50,2018-03-17 17:36,running
5,March,2,2018-03-17 17:40,2018-03-17 18:26,running
5,March,2,2018-03-17 18:30,2018-03-17 19:16,running
5,March,2,2018-03-17 19:16,2018-03-17 19:46,charging
5,March,2,2018-03-17 20:00,2018-03-17 20:46,running
5,March,2,2018-03-17 21:40,2018-03-17 22:26,running
5,March,2,2018-03-17 23:40,2018-03-18 00:26,running
6,March,2,2018-03-17 06:50,2018-03-17 07:36,running
6,March,2,2018-03-17 07:50,2018-03-17 08:36,running
6,March,2,2018-03-17 08:50,2018-03-17 09:36,running
6,March,2,2018-03-17 09:50,2018-03-17 10:36,running
6,March,2,2018-03-17 11:20,2018-03-17 12:06,running
6,March,2,2018-03-17 13:20,2018-03-17 14:06,running
6,March,2,2018-03-17 15:20,2018-03-17 16:06,running
6,March,2,2018-03-17 16:40,2018-03-17 17:26,running
6,March,2,2018-03-17 17:30,2018-03-17 18:16,running
6,March,2,2018-03-17 18:20,2018-03-17 19:06,running
6,March,2,2018-03-17 19:20,2018-03-17 20:06,running
6,March,2,2018-03-17 20:06,2018-03-17 20:36,charging
6,March,2,2018-03-17 21:00,2018-03-17 21:46,running
6,March,2,2018-03-17 23:00,2018-03-17 23:46,running
